exponential,Adjective,the social security budget was rising at an exponential rate
equation,Noun,the equation of science with objectivity
logarithmic,Adjective,"the scale is logarithmic, so pH 2 is ten times more acidic than pH 3"
correspond,Verb,the carved heads described in the poem correspond to those in the drawing
derivative,Adjective,an artist who is not in the slightest bit derivative
slope,Noun,he slithered helplessly down the slope
tangent,Noun,he quickly went off on a tangent about wrestling
marginal,Adjective,it seems likely to make only a marginal difference
compound,Noun,the air smelled like a compound of diesel and gasoline fumes
availability,Noun,turkey producers had been losing sales because of the all-year-round availability of beef
caricature,Noun,there are elements of caricature in the portrayal of the hero
agile,Adjective,Ruth was as agile as a monkey
vivid,Adjective,memories of that evening were still vivid
counterintuitive,Adjective,this explanation sounds perversely counterintuitive
outlying,Adjective,an outlying village
accentuate,Verb,his jacket unfortunately accentuated his paunch
fixate,Verb,she has for some time been fixated on photography
upturn,Noun,an upturn in the economy
salient,Adjective,it succinctly covered all the salient points of the case
composite,Adjective,a composite photograph
exaggerate,Verb,he was apt to exaggerate any aches and pains
amplification,Noun,"even without amplification, her voice carries to the farthest corners"
mystical,Adjective,the mystical experience
acquisition,Noun,western culture places a high value on material acquisition
contend,Verb,she had to contend with his uncertain temper
intuitive,Adjective,I had an intuitive conviction that there was something unsound in him
lope,Verb,the dog was loping along by his side
correlate,Verb,the study found that success in the educational system correlates highly with class
deviate,Verb,you must not deviate from the agreed route
preliminary,Adjective,the discussions were seen as preliminary to the policy paper
versatile,Adjective,a versatile sewing machine
