revenue,noun,tax revenue
bank,noun,I paid the money straight into my bank
financial,noun,"he needs to pay serious attention to his financials, particularly cash flow"
deposit,verb ,he deposited a pile of schoolbooks on the kitchen table
loan,noun,the word processor was loaned to us by the theater
jurisdictions,noun,federal courts had no jurisdiction over the case
credit,noun,I've got unlimited credit
articulation,noun,the articulation of vowels and consonants
archaeologist,noun,American archaeologists uncovered life-sized terracotta statues
indigenous,adjective,the indigenous peoples of Siberia
hitherto,adverb,there is a need to replace what has hitherto been a haphazard method of payment
sophisticated,adjective,"a chic, sophisticated woman"
